fsq_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,station_id,distance_from_station,station_name
4b8a9f8bf964a520d07532e3,Crystal Dynasty Chinese Restaurant,13065,,,43.261938,-79.871796,94 Cannon St W (Bay),L8R 2B6,024a3edf037cb411d16acc08a7fcb954,728,Bay at Strachan
6ef850f9f2844884d8cd99ab,Kim Hoa Chinese B B Q,13065,,,43.261318,-79.868955,127 MacNab St N,L8R 2M2,024a3edf037cb411d16acc08a7fcb954,731,Bay at Strachan
4fcb95fee4b02fed0e7ab7fc,Route 66 Oldies Cafe,13065,,,43.272839,-79.861721,574 James St N,L8L 1J7,024a3edf037cb411d16acc08a7fcb954,747,Bay at Strachan
60fa075c29d73129292316ee,Rapscallion & Co,13065,,,43.261149,-79.866794,178 James St N,L8R 2L1,024a3edf037cb411d16acc08a7fcb954,751,Bay at Strachan
d57c3e633f5847ff267fa710,Bulgogi BBQ Korean restaurant,13065,,,43.260818,-79.866738,15 Cannon St E,L8L 1Z6,024a3edf037cb411d16acc08a7fcb954,788,Bay at Strachan
69518b7975a74940ff7a505e,Pho Bo Restaurant,13065,,,43.262869,-79.859711,145 Barton St E,L8L 8A8,024a3edf037cb411d16acc08a7fcb954,865,Bay at Strachan
4c5c60edd25320a18407c37a,Happy Hourz Pub,13065,,,43.259965,-79.869097,94 MacNab St N (MacNab St),L8R 2L8,024a3edf037cb411d16acc08a7fcb954,882,Bay at Strachan
4b567e89f964a520de1228e3,Werx,13065,,,43.259897,-79.86635,121 Hughson St N (at Cannon St E),L8R 1G7,024a3edf037cb411d16acc08a7fcb954,893,Bay at Strachan
5911c37da0215b4dc00f0b33,French Confection,13065,,,43.259547,-79.867265,1 Wilson St (James St N),L8R 1C4,024a3edf037cb411d16acc08a7fcb954,925,Bay at Strachan
63683d97daeb7f1ee11cf726,Chicken Plus,13065,,,43.25953,-79.866752,1 Wilson St,L8R 1C4,024a3edf037cb411d16acc08a7fcb954,930,Bay at Strachan
59a7742462420b4760b12e3f,Noodle Me,13065,,,43.259457,-79.866971,1 Wilson St,L8R 1C4,024a3edf037cb411d16acc08a7fcb954,936,Bay at Strachan
63891d3af8ae61439c51a7f4,Shawarma Royale Hamilton,13065,,,43.260094,-79.872504,Bay St,L8R 1R6,024a3edf037cb411d16acc08a7fcb954,939,Bay at Strachan
4efe538f6da1cd03577551f4,Pho Bo Con,13065,,,43.262781,-79.87755,303 York Blvd (Queen St),L8R 3K5,024a3edf037cb411d16acc08a7fcb954,961,Bay at Strachan
56d14a22cd10e735a3b50f47,Sam's Cheese & Meats,13065,,,43.259152,-79.870212,55 York Blvd,L8R 3K1,024a3edf037cb411d16acc08a7fcb954,985,Bay at Strachan
e94af948dac7477fd9c9366e,Julia's Fresh Poultry,13065,,,43.259152,-79.870212,55 York Blvd,L8R 3K1,024a3edf037cb411d16acc08a7fcb954,985,Bay at Strachan
4d2805ac8292236ae39a15bb,Hamilton BBQ Place,13065,,,43.262236,-79.877365,82 Queen St N,L8R 2V4,024a3edf037cb411d16acc08a7fcb954,986,Bay at Strachan
ad295b46aaef47c73a46be79,Mcqueen's,13065,,,43.262126,-79.877346,103 Queen St N,L8R 2V5,024a3edf037cb411d16acc08a7fcb954,993,Bay at Strachan
4c37adbfae2da593fe57ffc5,Workers Arts & Heritage Centre,10027,,,43.266361,-79.867397,51 Stuart St,L8L 1B5,024a3edf037cb411d16acc08a7fcb954,171,Bay at Strachan
4ccbb35c7c2ff04d3860947e,Ghosts of the Custom House,10027,,,43.266302,-79.867433,51 Stuart St,L8L 1B5,024a3edf037cb411d16acc08a7fcb954,177,Bay at Strachan
53f2c836498e8f4f5b9ea6c4,Ruthven Park National Historic Site,10027,,,43.262312,-79.864765,243 Haldimand Hwy Cayuga ON,N0A 1E0,024a3edf037cb411d16acc08a7fcb954,667,Bay at Strachan
34f9a6d1e4fa4bf4d8d4a8d4,Royal Hamilton Light Infantry Heritage Museum,10027,,,43.261891,-79.866595,200 James St N,L8R 2L1,024a3edf037cb411d16acc08a7fcb954,671,Bay at Strachan
