fsq_id,poi_name,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,yelp_id,poi_id,poi_category
5dd2e5df0cd86e00081bd28b,1101 Convenience,,,43.248628,-79.821565,1101 Cannon St E (Kensington),L8L 2J5,,VZ1072,restaurants
4dbb3d3ef7b1ab37dd3fe8f9,2 For 1 Pizza and Wings,,,43.245058,-79.807569,158 Kenilworth Ave N,L8H 4R8,,QY6793,restaurants
4f5e95a3e4b0253ade1e7454,241 Pizza,,,43.250811,-79.851416,447 Main St E,L8N 1K1,,OU2327,restaurants
017dcad7abe249b50f10d5ed,31 Service Battalion Museum,,,43.275168,-79.856177,650 Catharine St N,,,GU3313,museums
59907f940868a228a8f2c2f2,337 Sketch Gallery,,,43.251192,-79.816572,327 Ottawa St N (Barton St E),L8H 3Z8,,AO8032,museums
538f7f38498e51998b970447,541 Eatery & Exchange,,,43.258283,-79.842245,541 Barton St E,L8L 2Z2,,XE1007,restaurants
4f15019fe4b03f4c033e864c,8090 Teahouse,,,43.255447,-79.864578,149 King St E,L8N 1B1,,OZ0941,restaurants
4c9000a0352da1cdc4090eb2,A Cross the Roads,,,43.24346,-79.822596,1123 Main St E,L8M 1P2,,FM3819,restaurants
4c76eaae947ca1cd65cc4537,A&W Restaurant,,,43.250687,-79.807818,1275 Barton St E (Kenilworth Ave. N.),L8H 2V4,,AH6264,restaurants
503544ede4b0cde75df3b149,A&W Restaurant,,,43.262054,-79.857951,190 Barton St E,L8L 2W8,,QW9367,restaurants
4fe53cd6e4b0117428807583,A&W Restaurant,,,43.25855,-79.875118,194 King St W,L8P 1A5,,UF2649,restaurants
60528026f7bc6a196fad47dd,A-1 Poutine & Wings,,,43.241733,-79.815215,1279 Main St E (Graham Ave N),L8K 1B1,,IF2192,restaurants
4f8da6fae4b02aede09358bd,A1 BBQ,,,43.240325,-79.808768,1435 Main St E,L8K 1C4,,XD2085,restaurants
57d9deeb498ef546464d9abc,AMO Gelato Caffe,,,43.255633,-79.885381,171 Locke St N,L8R 3B1,,NH3276,restaurants
534c6197498e2a0a588f0226,Aberdeen Tavern,,,43.251479,-79.893532,432 Aberdeen Ave (Dundurn Street),L8P 2S2,,MZ5197,restaurants
4c2541bd905a0f47613a6160,Aceti Pizzeria Spaghetti House & Tavern,,,43.239638,-79.806057,1491 Main St E,L8K 1C9,,KA9868,restaurants
55f06107498ea65e27dc49c4,Aichi Japan,,,43.258442,-79.869257,2 King St W (in Jackson Square),L8P 1A1,,DP0235,restaurants
4c48df8e20ab1b8dc18b0116,Ajio Sushi,,,43.255299,-79.864321,161 King St E (Mary St),L8N 1B1,,SU5711,restaurants
4ebdf6c0f79074115ff582dd,Almizan Grill,,,43.240591,-79.851221,578 Concession St,L8V 1B1,,SN2178,restaurants
0a7f2707fafd4d6c4c6a45bc,Amaral F,,,43.262782,-79.866653,241 James St N,L8R 2L2,,YZ2345,restaurants
5a209826c0cacb41127524fc,Amir Pita and Grill,,,43.25501,-79.844799,114 Sanford Ave N,L8L 5Z2,,XN4854,restaurants
4be9b7fd61aca593dae58200,Andy's 2-4-1 Submarines,,,43.248912,-79.805434,1342 Barton St E (at Kenilworth Ave N),L8H 2W3,,QI7307,restaurants
4bd219419854d13a53f2fa4d,Anytime Pizza,,,43.263319,-79.901013,876 King St W (at Longwood Rd N),L8S 4S6,,JB5379,restaurants
6423239ebfb4cb1c138964a3,Apllada Greek Fusion Restaurant,,,43.252342,-79.849681,635 King St E,L8N 1E5,,QM2724,restaurants
4b54ef65f964a52006d427e3,Art Gallery of Hamilton,,,43.257458,-79.87215,123 King St W (King St. and Bay St.),L8P 4S8,,HS4152,museums
4bafbe2bf964a520021d3ce3,Atlantic Submarines,,,43.250576,-79.868993,212 John St S (Young Street),L8N 2C8,,KL4867,restaurants
255b17e05b544f7ad82e31d6,Atlantic Submarines,,,43.251565,-79.83796,927 King St E,L8M 1B9,,RX0174,restaurants
4fc95be6e4b0be33aa56ebaa,BBQ Pizza,,,43.242749,-79.819464,2 Ottawa St N,L8H 3Y7,,DI7512,restaurants
4bcea0cf29d4b713a3e9a8dc,Bangkok Spoon Deluxe,,,43.266541,-79.956102,57 King St W (btw Millers Ln & Sydenham St) Dundas ON,L9H 1T5,,HJ4531,restaurants
e6fadd599894499a51867acd,Banh Mi Hue,,,43.261421,-79.869066,127 MacNab St N,L8R 2M2,,QC7047,restaurants
5865f4ed9398ab594084373c,Bar Sazerac,,,43.263456,-79.865886,278 James St N,L8R 2L3,,BV5528,restaurants
4c6587a8aebea593179870d0,Bar on Locke,,,43.255604,-79.885747,178 Locke St S,L8P 4B3,,DS6388,restaurants
5df2da08b2d4a50008eace17,BarBurrito,,,43.256928,-79.935121,1711 Main St W (Osler Dr.),L8S 1G5,,FP2004,restaurants
37b38884cd7341faabdf93f7,Barbers Restaurant Equip,,,43.25344,-79.823718,927 Barton St E,L8L 3C4,,LK2968,restaurants
6133cb4e7bb7990060ff36c8,Barton Salumeria & Charcuterie,,,43.260371,-79.850015,357 Barton St E,L8L 2X8,,WI6026,restaurants
519ff0e5498efb00c8a8cdc9,Barton Touchdown Pub,,,43.25346,-79.824927,912 Barton St E,L8L 3C2,,AE2200,restaurants
37a51cd8177744332559f7c2,Barton Village Bia,,,43.259137,-79.846422,448 Barton St E,L8L 2Y6,,FB2479,restaurants
4b719ee7f964a520a0512de3,Basilique,,,43.261035,-79.907396,1065 King St W,L8S 1L8,,WR2185,restaurants
