yelp_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,fsq_id,poi_id,poi_category
BqkJd5ZI96-kpX0RHx717w,Culantro Peruvian Cookery,restaurants,3.7,25,43.2501405,-79.8487616,537 Main Street E,L8M 1H9,,NG2849,restaurants
n0eaT9uqkw1ozikjhRL9Xg,Curbside Dogs,restaurants,3.3,3,43.7704010009766,-79.6707992553711,Brampton ON L6S,,,VP8918,restaurants
JXDUlAjWjy4XCO8Kos_eXg,D's Cafe Bubble Tea,restaurants,3.8,13,43.26193,-79.87164,94 Cannon Street W Unit 2,L8R 2B6,,BM9932,restaurants
Ou8AZ5Nyr2r6hosfwrgT-w,Dairy Queen,restaurants,0.0,0,43.242547,-79.8188405,1205 Main St E,L8K 1A2,,FS0225,restaurants
Zh7FJV_rEZOzWfEsSzlFBQ,Dairy Queen Ltd Brazier,restaurants,0.0,0,43.255063,-79.831134,798 Barton St E,L8L 3B3,,JE4960,restaurants
4AxB41gPsWEUPvBZJgS-1Q,Das Schnitzel,restaurants,5.0,1,43.2462118,-79.8184547,131 Ottawa Street N,L8L 1Y5,,AP0395,restaurants
IJy2QnvHX2TnA2jnR_HvSA,Dc's Variety & Subs,restaurants,1.0,1,43.26829,-79.84159,540 Wentworth Street N,L8L 5X3,,XL7824,restaurants
l-XLixSC1BFp5l2AJ1zlVA,Debbie's Fish and Chips,restaurants,4.0,1,43.2622708992656,-79.8594022169709,150 Barton Street E,L8L 2W5,,PB9562,restaurants
5jq3oHZL0W0GvrwtqZVrlA,Deep Sea Submarine & Pizza,restaurants,0.0,0,43.2500831,-79.8279895,997 Cannon Street E,L8L 2H4,,QY7749,restaurants
SZI6H6ZNLb1YD0ij38jf7Q,Delirious Burger,restaurants,4.3,50,43.26243,-79.90546,1008 King Street W Unit B,L8S 1L4,,YK5632,restaurants
3NdTvkvimiJ8ShpCPmz7QQ,Delirious Burger,restaurants,4.7,3,43.253778133977775,-79.88649785223433,197 Locke Street,L8P 4B5,,DG7447,restaurants
J0cvSwgAH-kJs1yPgWf-Mg,Delta Bingo Centre,amusementparks,0.0,0,43.2563312,-79.8675285,45 King Street E,L8N 1A5,,OG5655,amusementparks
tYwxhSEQle8JpaWM0O_sqQ,Dengi's Kitchen,restaurants,0.0,0,43.2506408516008,-79.8329104944174,535 King Street E,L8M 1C8,,AM5068,restaurants
5Rk-xTpg7w7BqJU9e81oeg,Denninger's Foods of the World,restaurants,3.7,23,43.25381,-79.8609,284 King Street E,L8N 1B7,,WI0020,restaurants
G-V7PFbTMz3hNOXz3Kl4iA,Detour Cafe,restaurants,3.9,96,43.26653,-79.95534,41 King Street W Dundas ON,L9H 1T7,,SF2343,restaurants
96XT46IbtnGi-dEUSzrYlg,Diamantino's Pizza,restaurants,2.5,2,43.26063,-79.85098,341 Barton Street E,L8L 2X6,,SY1281,restaurants
ZkX35A8Z5IMbv4bClbxL_g,Diana's Pizza & Grill,restaurants,5.0,1,43.2483215,-79.8068695,263 Kenilworth Ave N,L8H 4S6,,HM3593,restaurants
dEQmjq2IJUXv2cdRKQYXtg,Dim Sum House,restaurants,3.1,7,43.255177,-79.86387,173 King Street E,L8N 1B3,,JE0447,restaurants
XYZirPf2pYh4BAHb9GbtVA,Diplomat,restaurants,3.9,28,43.2572440040624,-79.8670820519328,43 King William Street,L8R 1A2,,QK8445,restaurants
XZ64BQvUIDt-vS2XZsJesg,Domino's Pizza,restaurants,3.0,2,43.23977,-79.808572,1440 Main Street E Unit 2,L8K 6M3,,IH2254,restaurants
EqNatxw4vjZsRZPpKJPlnA,Domino's Pizza,restaurants,0.0,0,43.26378834249579,-79.86634610000002,275 James Street Unit 2,L8R 2L4,,FU5130,restaurants
K23h-jZDTEzlmngmNWK-Iw,Domino's Pizza,restaurants,5.0,5,43.26274,-79.95276,86 Main Street Dundas ON,L9H 2R1,,BA6037,restaurants
bAHjMao8PWhDtOwXTDkMQw,Doors: Taco Joint & Metal Bar,restaurants,5.0,2,43.2572195,-79.8783555,56 Hess Street S,L8P 3N3,,VD0107,restaurants
NQDBLx4yRhKIACnLMmLEzA,Double Star Pizza & Wings,restaurants,4.0,3,43.2558478,-79.8580871,82 Wellington Street N,L8R 1N1,,YG2838,restaurants
o-WonoWNOF1sxHBJMtHvnQ,Dough Box,restaurants,3.1,25,43.2574167,-79.9239487,1457 Main Street W,L8S 1C9,,BF4420,restaurants
obx84PO7xHXLODnZKCJCWw,Down The Street Food Co,restaurants,0.0,0,43.2482913,-79.81758271599351,205 Ottawa Street N,L8H 3Z4,,JA0704,restaurants
O2hEgVPZhgwqItd3gaX-0Q,Dragon Court,restaurants,2.5,18,43.26264,-79.90469,988 King Street W,L8S 1L1,,HE3243,restaurants
ETRx-XxJAd1xWveqC-S3Ag,Dragonpot,restaurants,5.0,1,43.260943,-79.882995,468 King Street W,L8P 1B7,,SE9648,restaurants
u6CH6CCvZFjcCN_V0urxRA,Dukes Pub Pasta & Pizzeria,restaurants,0.0,0,43.26095,-79.85251,303 Barton Street E,L8L 2X5,,DP4841,restaurants
PQKwbTLMeTSeIldSx1qnug,Dunas Verdes Cafe,restaurants,3.6,8,43.26303,-79.86658,253 James St N,L8R 2L2,,XN2140,restaurants
I8VluhPFqqy6Y1OuSdoFlg,Dundas Museum,museums,0.0,0,43.2682,-79.95932,139 Park Street W Dundas ON,L9H 1X8,,JX4155,museums
uomnLjP6PJrt1RtGvBcaug,Dundas Pizza,restaurants,3.3,4,43.27605,-79.94135,211 York Road Dundas ON,L9H 1M9,,IM9095,restaurants
eTyQy23c5WbiOChJc7eh2Q,Dundas Shawarma,restaurants,3.0,2,43.26572,-79.95234,24 King St E,L9H 1B8,,OH9922,restaurants
cIV0MUAb7hlaT9P2Ys6MUg,Dundurn National Historic Site,museums,3.9,10,43.26853,-79.88501,610 York Boulevard,L8R 3H1,,ZM5050,museums
n81p4p8C1SBxyZ1Wr3cnAQ,East City Chinese Food Take Out,restaurants,3.3,12,43.2249,-79.82835,1130 Fennell Avenue E,L8T 1S5,,NX2174,restaurants
t2qF1e6yP0yXT0j0T5rrsg,East Meets West Bistro,restaurants,2.5,2,43.2624825591184,-79.9228611096473,1280 Main Street W,L8S 4L8,,KI7159,restaurants
LOED4BIM0asDLHeG2jzlgA,East Side Mario's,restaurants,2.4,11,43.258489,-79.94142,119 Osler Drive Unit 1 Dundas ON,L9H 6X4,,OF5191,restaurants
JUtdDKVn99zox-bpo_cgrQ,Easterbrook Hotdog Stand,restaurants,4.1,41,43.289047,-79.874739,694 Spring Gardens Road Burlington ON,L7T 1J3,,KZ9360,restaurants
nko-en8E7B4jzcDrjB9CpQ,El Grito Mexicano,restaurants,5.0,1,43.26260029055808,-79.8662367,236 James Street N,L8R 2L3,,FP3997,restaurants
cYxyEDrYNAY_kHWHJEgZbg,Electric Diner,restaurants,3.4,7,43.2578,-79.86829,28 James Street N,L8R 1A1,,PU5138,restaurants
i8nQA6qFkr3TmSCZ1ukbGQ,Electric Diner,restaurants,3.7,23,43.25845,-79.878,96 George Street,L8P 3M8,,GT9798,restaurants
gPo_FGlDBwiaTl8GZfMOwg,Ellis Kitchen,restaurants,4.2,10,43.24665396751856,-79.81787567116335,148 Ottawa Street N,L8H 3Z3,,HS8108,restaurants
J4nsTwDoNwUIPT5LrlTfMg,Em Oi,restaurants,4.7,7,43.23931807651532,-79.86665239999999,542 Upper Wellington Street,L9A 3P5,,TR5080,restaurants
lVCkCUNlHDo1t8Bpy6QBiQ,Emilio's Eatery & Bakery,restaurants,2.8,6,43.26686,-79.95859,117 King Street W Dundas ON,L9H 1V1,,OC3760,restaurants
D_Wm3OKMd0z5M64mLY3JMw,Empire Burger,restaurants,5.0,1,43.259322980551296,-79.87812583034612,298 King Street W,L8P 1B1,,OA2200,restaurants
LbU8kSZO3-DwBHwpRpJcEg,Empress Wok,restaurants,2.5,12,43.25951,-79.9433823,101 Osler Dr Dundas ON,L9H 4H6,,XZ4227,restaurants
pGRXD5BMAb_v_4QIhWMDiw,Espeto Brazil Food Truck,restaurants,0.0,0,43.70075,-79.29583,Toronto ON,M4B 1B4,,MR0142,restaurants
