fsq_id,poi_name,poi_category_id,poi_rating,poi_review_count,poi_latitude,poi_longitude,poi_address,postal_code,yelp_id,poi_id,poi_category
4bad5ac6f964a52073493be3,Ben Thanh,13065,,,43.259718,-79.867943,113 James St N (James Street North And Vine Street),L8R 2K6,,XW9838,restaurants
91e5616345c04783da56f403,Best Coffee in Westdale-Hamilton,13065,,,43.262507,-79.905003,1004 King St W,L8S 1L1,,MJ0001,restaurants
5a7de01ed3cce83c8146bfa4,Betula Restaurant,13065,,,43.267966,-79.963674,225 King St E Dundas ON,L8N 1B6,,GI3085,restaurants
1df36d3ef8524fbc21b1fe52,Beverly Restaurant Inc,13065,,,43.253114,-79.886855,254 Locke St S,L8P 4B9,,PY1651,restaurants
dd70f592a7774755cb16b4ff,Beyond Pizza and Wings,13065,,,43.24796,-79.943281,1960 Main St W,L8S 4N5,,AW7748,restaurants
4d0502168620224b5911ac40,Big Top Family Restaurant,13065,,,43.247562,-79.839835,754 Main St E,L8M 1L1,,NS0978,restaurants
c66637d3a05e48d4f4dbda3e,Bikeables,13065,,,43.260726,-79.872287,103 Vine St,L8R 2B1,,EJ2239,restaurants
4bb47184842947aa5abb52a0,Binfica Sports Bar,13065,,,43.263595,-79.863359,61 Barton St E,L8L 2V7,,YS4502,restaurants
4e1e06f87d8bb284210333aa,Bitten,13065,,,43.254303,-79.885943,219 Locke St S,L8P 4B6,,CX2064,restaurants
54a48f20498ec5a0b5ac0b14,Black Sheep Snack Bar,13065,,,43.247797,-79.817809,187 Ottawa St N (Cannon),L8H 3Z4,,QI1603,restaurants
637a63d27f318c2b795ea428,Boardwalk Fries Burgers Shakes,13065,,,43.25683,-79.934224,1685 Main St W,L8S 1G5,,CC9551,restaurants
6175aaa820e8d16eaf9e458a,Bon Temps,13065,,,43.250863,-79.868902,61 Young St,L8N 1V1,,KD5851,restaurants
e5c7f5dc0c8a4a2414ae2f85,Bon Vivant Catering Inc,13065,,,43.293032,-79.887919,Spring Garden Rd Burlington ON,,,VR6817,restaurants
5a317ffc2e268066d3b84ea8,Boon Burger,13065,,,43.250449,-79.816771,295 Ottawa St N,L8H 3Z8,,GM6440,restaurants
57a9298c498e50ae5d176f70,Born and Raised,13065,,,43.262472,-79.866322,224 James St N,L8R 2L3,,QA3012,restaurants
4b6cb501f964a520de4d2ce3,Boston Pizza,13065,,,43.250609,-79.810308,1219 Barton St E (Kenilworth Ave. N.),L8H 2V4,,DY0141,restaurants
4bb832a87421a5937ca4c140,Boston Pizza,13065,,,43.257231,-79.927615,1563 Main St W (Cottrill St.),L8S 1E6,,FB7185,restaurants
4c7928133badb1f7dbf34d54,Breezy Corners,13065,,,43.262301,-79.895368,1480 6 Hwy N (Carlisle Rd),L8N 2Z7,,PJ3247,restaurants
4d25eafd5cc1a093705897be,Bridges Cafe,13065,,,43.262922,-79.921304,1280 Main St E,L8K 1A9,,RU8359,restaurants
6483be61b077763fa972dcbe,Bring Me Some,13065,,,43.240056,-79.848627,638 Concession Street,L8V 1B5,,PN8785,restaurants
5336b602498ed6460f95d49d,Brown Dog Coffee Shop,13065,,,43.254479,-79.885834,211 Locke St S,L8P 4B6,,AH2859,restaurants
4bcb9a570687ef3b351edecc,Brownie's Downtown,13065,,,43.254161,-79.860929,275 King St E,L8N 1B9,,ED0220,restaurants
4dee51c3b0fb43a756f0ee7a,Bruno's Pizza & Wings,13065,,,43.247771,-79.840751,718 Main St E (Sherman),L8M 1K9,,GW9424,restaurants
53ebee17498e796ff40c308c,Bryce's Fish N Chips,13065,,,43.244659,-79.818626,80 Ottawa St N,L8H 3Z1,,KR7121,restaurants
4d225d8ad7b0b1f728bc249f,Buddys Roadhouse,13065,,,43.240965,-79.822316,1360 King St E,L8M 1H5,,WL1928,restaurants
4beb091b62c0c928909de1d4,Bula Smoothie & Nutrition Bar,13065,,,43.261462,-79.907654,7 Sterling St,L8S 4H6,,WB5587,restaurants
d57c3e633f5847ff267fa710,Bulgogi BBQ Korean restaurant,13065,,,43.260818,-79.866738,15 Cannon St E,L8L 1Z6,,GO1088,restaurants
530d2546498eddd5e1174563,Buona Vita Pizza,13065,,,43.262126,-79.877346,82 Queen St N,L8R 2V4,,SN7094,restaurants
7f324d0b55404480aa917068,Burger King,13065,,,43.258327,-79.874384,172 King St W,L8P 1A5,,QY1774,restaurants
531b6d1b498eeddc4088b4a2,Burrito Bandidos,13065,,,43.261782,-79.90641,1028 King St W (Paisley Ave. N.),L8S 1L5,,PB7950,restaurants
631f6394b69e0917d5fa5292,Burrito Bandidos,13065,,,43.258966,-79.876255,228 King St W (Hess St. N.),L8P 1A9,,GD8483,restaurants
5af5e1977e4b4e003000a124,CIMA Enoteca,13065,,,43.255083,-79.885983,190 Locke St S,L8P 4B4,,BP1603,restaurants
5ca02f17dd12f8002c3cfcb1,Cafe Baffico,13065,,,43.241752,-79.822263,1375 King St E,L8M 1H6,,GB5213,restaurants
4c700a79f52cb713414eacaf,Cafe Limoncello,13065,,,43.248751,-79.817042,226 Ottawa St N,L8H 3Z6,,SY9530,restaurants
53bd98e5498eda5dc4d94c0f,Cafe N' Things,13065,,,43.263696,-79.864952,22 Barton St E (James St N),L8L 2V5,,PL8852,restaurants
5036724be4b001c520354587,Cafe Oranje,13065,,,43.253614,-79.860049,312 King St E (Wellington St),L8N 1C2,,LR5964,restaurants
3f7dbfd0520b420e5207d5f7,Cafe' Limoncello an Italian Eatery,13065,,,43.248699,-79.816987,226 Ottawa St N,L8H 3Z6,,GF4432,restaurants
4e4d0cfcd164e69742d2c95a,Cake and Loaf Bakery,13065,,,43.251924,-79.892124,321 Dundurn St S (Dundurn Street South),L8P 2M5,,KT7255,restaurants
6070b68de04d41a41cef9df8,Calipan,13065,,,43.248025,-79.817755,191 Ottawa St N,L8H 3Z4,,TJ0066,restaurants
4f7317f8e4b0782142bd2948,Canadian Football Hall of Fame,10027,,,43.255134,-79.872268,58 Jackson St W,L8P 1L4,,BZ0418,museums
4ef1daed0e617e29c65f76c9,Cannon Coffee Co,13065,,,43.24768,-79.817882,179 Ottawa St N (Cannon Street),L8H 3Z4,,JW6889,restaurants
5635c595498e26546618cb23,Capri Family Restaurant,13065,,,43.256652,-79.866358,25 John St N,L8R 1H1,,NU6176,restaurants
4c7983b397028cfa8c6edbfe,Caribbean & Canadian food restaurant,13065,,,43.238134,-79.836624,952 Concession (Upper Gage),,,NZ5455,restaurants
50354ea3e4b084f7d8bade4d,Caribbean Canadian Fast Food,13065,,,43.24077,-79.851807,568 Concession St,L8V 1B1,,MD8665,restaurants
